epoch,loss,lr,valid_cont_loss,valid_positive_distance,valid_negative_distance,valid_mlm_loss,valid_mlm_acc
0,,,7.514524677015852,0.12123151745146236,0.1596694476572554,3.088202651342892,0.02808370462908027
1,7.345902495679723,4.493055062954425e-05,4.244723568995598,0.5798372648867787,1.0662761272893073,2.542277249218014,0.29640459400599034
2,4.039958811908814,0.00013443055062954424,3.114905190478623,0.5708658997775967,1.1434370959348772,2.1930514454598877,0.3993215309499574
3,3.053117862796228,0.00022393055062954424,2.605188468845588,0.5456073924718645,1.1620654873861218,1.7482940961046725,0.5821801904545865
4,2.415161047306134,0.0003134305506295442,2.268016715953065,0.5258032180620242,1.1763816362527724,1.4337111131815516,0.7012439938613545
5,2.0428238591045678,0.0004029305506295442,2.0851317611851954,0.507136956231496,1.1777578048929045,1.2690643287156138,0.7649847789565286
6,1.8169140324385806,0.0004924305506295441,1.9352872084885806,0.4951218551997139,1.181164727912701,1.152800479232942,0.8133689976068988
7,1.6578067259577958,0.0005819305506295443,1.849208715734817,0.483241344052124,1.1792178947433043,1.0794417379009722,0.8428933363577793
8,1.5470897782020794,0.0006714305506295441,1.7651215614533728,0.47559283042842937,1.182277461836922,1.0310742690365917,0.8607182024072574
9,1.4681453769259396,0.0007609305506295441,1.6888054263838903,0.4679162443095123,1.1852765746637903,1.002814307559929,0.870986878497876
10,1.409144574276678,0.0008504305506295442,1.6371707599958536,0.45787193194908443,1.1860596869118765,0.9795436702814079,0.8790431716026503
11,1.362912060789465,0.0009399305506295442,1.598504361277796,0.4501839047534162,1.1826409636353545,0.9589578508500335,0.8860545273877816
12,1.327764124740012,0.0010294305506295441,1.5289820744116556,0.44313221284170906,1.189964957876182,0.9493047348447589,0.889010196185424
13,1.2957393284503047,0.0011189305506295443,1.5109156207217944,0.4419994773515432,1.1898830780939442,0.9359395977462198,0.8928417262870715
14,1.2737724334771123,0.0012083461937734932,1.4909060083094658,0.43515330057431817,1.1915518854885057,0.9247623886531345,0.8965423584763688
15,1.2503141326049714,0.001226884932938532,1.4717798597272187,0.42976221184687435,1.1873722367487918,0.9173952470354769,0.8973434301264382
16,1.2289213319995411,0.0011866314992028263,1.4327041054872378,0.4292758186969097,1.1907685055906152,0.9062392690886123,0.9008693366621421
17,1.21209534438421,0.0011500979307215047,1.417588828713091,0.4279390851172542,1.1942327782480604,0.9022229896936697,0.9006957391672844
18,1.197160912946527,0.0011167443205193882,1.3875284552088685,0.4256418590613564,1.1954828015915773,0.8951666676226917,0.9029852111769483
19,1.1817251038677847,0.0010861344888781837,1.4048773851279133,0.42587896209250925,1.1883897291269299,0.8877604816673066,0.9047811902021198
20,1.171006252601185,0.0010579116864878114,1.3499562320387823,0.4184809816410418,1.195862815196532,0.884431695734836,0.9057509543835278
