epoch,loss,lr,valid_cont_loss,valid_mlm_loss,valid_aln,valid_unf,valid_mlm_acc
0,,,4.845132499654696,1.0152745318355396,0.512897788258522,-0.6833606574031117,0.846055993096702
1,3.5485781113945465,6.371773244161014e-05,0.02983433736263861,1.0222414065462404,0.5698948524168927,-1.334470908091771,0.8439979621799785
2,2.0185306102007936,0.00019090856470754038,0.006729639685789457,1.020548828712918,0.49684473434775256,-1.3612962205632346,0.8445724866102112
3,1.8398911624399996,0.00031809939697347055,0.0034645537576864153,1.022218229743017,0.45913022566545725,-1.3622065822424703,0.8437427989718435
4,1.7747994535902736,0.00044529022923940094,0.0023395516650754327,1.0236361772745004,0.4373365919762353,-1.3691521689841393,0.8430289193430934
5,1.741891048000871,0.0005724810615053311,0.0019838457353893667,1.0203521747047544,0.42164038403396664,-1.3668709383312176,0.8438465134918564
6,1.7223708863805005,0.0006996718937712614,0.0017735294977571994,1.023665561922341,0.40985265893190975,-1.36425694057935,0.8431251664211434
7,1.7109707948144608,0.0008266089076540688,0.0012723228755610438,1.0238586739454798,0.40754166917395485,-1.3792096735114516,0.8431859910003858
8,1.6970094174478436,0.0008512314924010743,0.0011692040518773486,1.0236339024764025,0.3974532920404189,-1.3750984609963777,0.8430799467615857
9,1.6845995968751628,0.0007995001940502476,0.0011926721701849526,1.0196758586121901,0.3882416954964531,-1.368870571397506,0.8449337823692242
10,1.6772365413572476,0.0007561906293818121,0.001023399028249666,1.0222126382347059,0.3847326510316571,-1.3746933088717528,0.8439636558840831
11,1.6713345907715165,0.0007192389911877444,0.0010296205874262517,1.021303875706821,0.3808745755797005,-1.3738224641551653,0.8440364725160185
12,1.6662329191710705,0.0006872269529013747,0.0009212924614628106,1.0203485085395632,0.37836017093159874,-1.3725166236209942,0.8445699866996965
13,1.665298401237722,0.0006591431997796446,0.0009297122778912254,1.0212355445266699,0.3780295547593525,-1.3759744816250885,0.8440204511051556
14,1.662163300513632,0.0006342445398719808,0.0008960312804681851,1.0177831140021434,0.37365450135168576,-1.3766928527768507,0.8450034426770989
15,1.6585726991779817,0.0006119708917295122,0.0008861485021792943,1.0219563394550075,0.3692572411135585,-1.371572830024279,0.843254948452771
16,1.6534282882027276,0.0005918910644545983,0.0008186226708980321,1.017702645506235,0.36805548658943243,-1.377326489502739,0.8444900436923302
17,1.6533929451012601,0.0005736669575159184,0.0008189576153687373,1.0197534498078211,0.36479128031528557,-1.3758720318706479,0.8448970061024073
18,1.6511596478144313,0.0005570292122706131,0.0008398438752377909,1.0193554431665728,0.3630447167745296,-1.372627487315038,0.8444339193532162
19,1.6477376951115914,0.000541760222426778,0.0008223233402868349,1.0215950077288671,0.36126889658492156,-1.3743550816876073,0.8440393394936793
20,1.6465804376150728,0.0005276820110169364,0.0007552183971057513,1.0182109143814404,0.36084155379064775,-1.3791401573298787,0.8450552904854483
